Identification Number,Email Address,Survey 1 Total,Survey 2 Total
7898,agapow@aol.com,0,6
6077,mhassel@gmail.com,5,10
4317,noneme@msn.com,3,6
3828,leviathan@outlook.com,16,9
2507,tubajon@mac.com,5,2
9438,maikelnai@comcast.net,13,10
6953,purvis@outlook.com,4,11
2747,onestab@me.com,1,15
1982,crimsane@yahoo.ca,9,3
6565,padme@comcast.net,17,13
4424,staffelb@msn.com,2,14
6648,kosact@comcast.net,19,6
3059,nelson@aol.com,20,9
3045,valdez@aol.com,7,0
5372,punkis@verizon.net,10,11
9948,wildixon@verizon.net,0,15
4945,rcwil@mac.com,0,11
4468,juerd@outlook.com,12,7
3025,leocharre@yahoo.com,13,6
7706,dhrakar@aol.com,10,7
7609,srour@att.net,2,13
3109,kayvonf@optonline.net,18,11
5740,reeds@icloud.com,19,2
9483,gfxguy@me.com,6,1
5946,purvis@me.com,0,12
1280,jamuir@optonline.net,0,12
2914,campware@sbcglobal.net,9,4
1431,jsbach@comcast.net,9,10
3400,saridder@mac.com,5,4
6502,sjava@mac.com,12,3
1091,pontipak@yahoo.ca,6,4
1582,jsbach@yahoo.com,2,3
4584,claypool@outlook.com,10,11
5912,weazelman@msn.com,6,4
5110,sburke@msn.com,19,10
9309,podmaster@hotmail.com,12,4
6869,devphil@aol.com,15,14
9043,dimensio@msn.com,8,7
1097,joglo@yahoo.ca,16,3
6732,amcuri@sbcglobal.net,19,0
8565,petersko@yahoo.ca,0,11
6038,staffelb@me.com,19,5
4899,mgemmons@hotmail.com,6,3
4660,sumdumass@me.com,13,9
8251,policies@yahoo.com,19,15
5852,notaprguy@att.net,1,10
8632,cliffski@outlook.com,1,15
4621,jbuchana@live.com,2,13
7475,darin@yahoo.com,6,1
1326,pakaste@verizon.net,19,6
7516,psichel@hotmail.com,6,8
4543,notaprguy@optonline.net,15,15
3767,snunez@optonline.net,18,5
9973,cisugrad@comcast.net,9,15
7342,dleconte@me.com,20,3
7482,jeffcovey@att.net,18,10
4799,dgriffith@icloud.com,14,1
9979,dvdotnet@icloud.com,11,2
3730,fangorn@mac.com,6,4
4684,sequin@me.com,20,12
3976,jtorkbob@verizon.net,7,6
5413,lukka@att.net,13,10
7317,naoya@outlook.com,10,15
6385,monkeydo@outlook.com,11,9
4161,carreras@hotmail.com,7,1
4674,ateniese@att.net,0,2
1123,jimxugle@att.net,2,11
6397,zeller@aol.com,4,8
8770,mlewan@yahoo.com,8,4
2665,goresky@att.net,6,6
8874,mchugh@att.net,3,2
6207,claypool@verizon.net,8,11
2549,kmself@mac.com,2,7
2643,lukka@mac.com,13,9
3092,aukjan@mac.com,2,5
6578,boein@msn.com,9,1
7242,helger@mac.com,7,12
3046,mhanoh@outlook.com,1,10
6078,elmer@verizon.net,1,11
4965,mfleming@comcast.net,5,0
3462,parsimony@comcast.net,5,7
2511,kempsonc@verizon.net,11,7
3492,sethbrown@outlook.com,15,4
2683,cliffordj@msn.com,15,10
1085,penna@comcast.net,18,12
1064,nighthawk@outlook.com,18,8
3262,mbrown@live.com,10,4
4696,cosimo@optonline.net,11,7
5047,pmint@mac.com,18,9
4025,falcao@yahoo.ca,7,5
7116,fmerges@icloud.com,17,4
1618,wsnyder@mac.com,3,14
2294,kosact@outlook.com,17,10
3588,jfreedma@aol.com,1,4
9613,keutzer@yahoo.ca,8,2
5691,scottlee@mac.com,10,8
4246,cparis@mac.com,20,7
3681,madanm@gmail.com,11,0
6402,parrt@hotmail.com,2,8
2194,tangsh@me.com,2,9
7496,ajohnson@yahoo.com,2,11
9272,scarlet@hotmail.com,8,1
5841,markjugg@hotmail.com,1,15
9161,overbom@mac.com,8,6
6107,preneel@me.com,10,1
3158,mkearl@yahoo.ca,3,3
2991,nacho@outlook.com,8,10
5903,netsfr@yahoo.com,18,13
2918,ideguy@hotmail.com,18,8
6404,mwilson@verizon.net,16,6
3178,psharpe@gmail.com,2,7
3772,ewaters@live.com,10,10
1718,chlim@msn.com,19,11
9848,flavell@yahoo.com,15,11
5136,mglee@icloud.com,12,13
1557,burniske@gmail.com,20,8
7634,leakin@hotmail.com,18,11
2441,boftx@gmail.com,9,6
1830,bhtower@gmail.com,17,14
7798,afeldspar@yahoo.ca,11,4
2629,carmena@comcast.net,16,8
1934,johnh@comcast.net,19,6
4538,shazow@yahoo.ca,19,2
9257,hahsler@gmail.com,2,9
5062,choset@msn.com,11,14
6069,parasite@yahoo.ca,13,11
8304,carcus@me.com,7,9
7321,aibrahim@aol.com,16,6
6280,andersbr@comcast.net,13,14
8824,dpitts@hotmail.com,9,5
5696,rgarcia@comcast.net,0,13
3977,weidai@hotmail.com,0,2
4985,bbirth@yahoo.com,11,1
7880,andrewik@icloud.com,9,1
1413,killmenow@comcast.net,15,10
4425,fmerges@optonline.net,19,15
6084,ovprit@sbcglobal.net,5,2
7328,gregh@outlook.com,1,4
6247,pkilab@yahoo.com,15,10
1750,draper@att.net,19,11
5695,netsfr@mac.com,8,4
4181,airship@gmail.com,18,3
3814,british@aol.com,4,13
7310,schwaang@optonline.net,20,8
3856,parsimony@sbcglobal.net,11,9
6823,granboul@live.com,9,15
1602,fairbank@sbcglobal.net,20,3
3137,sacraver@sbcglobal.net,7,9
4903,psichel@yahoo.com,19,0
3859,yfreund@hotmail.com,12,3
1767,bryam@optonline.net,18,2
9335,jdhedden@mac.com,3,15
2057,sopwith@verizon.net,19,3
3521,miami@live.com,15,10
4042,nasor@msn.com,7,8
6964,isaacson@sbcglobal.net,16,6
6639,srour@me.com,18,14
9170,fangorn@icloud.com,15,12
9615,melnik@gmail.com,10,12
7456,fviegas@aol.com,7,6
9163,kingma@att.net,6,13
2225,tlinden@comcast.net,2,14
2809,cparis@icloud.com,13,10
8321,wonderkid@me.com,11,10
7070,ghost@aol.com,13,9
9124,reziac@yahoo.com,5,1
4387,ournews@me.com,3,7
8065,mcmillan@yahoo.ca,8,5
1252,sopwith@aol.com,14,3
5316,esokullu@hotmail.com,4,1
4576,noticias@icloud.com,14,15
5244,pdbaby@gmail.com,10,7
8382,grossman@comcast.net,2,1
4189,leslie@hotmail.com,6,15
2258,seasweb@sbcglobal.net,12,3
1058,sinclair@att.net,4,8
5238,bjornk@optonline.net,20,2
4422,mcmillan@aol.com,12,0
1528,johnh@sbcglobal.net,10,8
4625,munjal@yahoo.ca,15,6
7676,kostas@yahoo.ca,13,3
1704,pkplex@aol.com,2,0
6605,nimaclea@sbcglobal.net,13,4
8723,kayvonf@optonline.net,8,10
6865,ingolfke@outlook.com,3,4
1773,ilikered@comcast.net,16,7
6921,terjesa@yahoo.com,14,1
5308,dobey@sbcglobal.net,7,12
6649,smallpaul@me.com,8,3
8946,unreal@optonline.net,3,3
1531,jwarren@outlook.com,9,6
4905,airship@yahoo.ca,4,0
8226,stewwy@live.com,17,7
7288,gozer@sbcglobal.net,0,3
3515,chrwin@live.com,7,6
5855,tangsh@verizon.net,17,14
3836,hellfire@yahoo.ca,16,9
8736,bahwi@att.net,0,15
2594,jwarren@icloud.com,19,9
2561,aprakash@icloud.com,10,14
1629,jemarch@me.com,2,11
3677,gregh@mac.com,12,2
3004,onestab@yahoo.com,2,5
2144,graham@att.net,13,15
4556,stern@yahoo.ca,6,3
2227,tarreau@mac.com,10,10
4429,draper@hotmail.com,9,7
7120,yzheng@hotmail.com,16,9
4484,frostman@comcast.net,11,4
2971,sakusha@aol.com,9,0
7228,birddog@optonline.net,1,9
5722,tjensen@sbcglobal.net,17,13
9560,bahwi@hotmail.com,15,9
4804,aracne@outlook.com,8,7
4699,sopwith@me.com,4,12
7075,munson@icloud.com,6,6
1921,amaranth@gmail.com,16,8
4508,reziac@yahoo.ca,20,11
8918,jandrese@live.com,1,3
1769,cmdrgravy@aol.com,16,5
1710,jbryan@gmail.com,14,8
2421,jeffcovey@hotmail.com,17,15
1061,treeves@msn.com,5,7
9245,sinkou@sbcglobal.net,11,8
1245,ramollin@optonline.net,19,6
2006,shrapnull@att.net,18,10
1289,evans@aol.com,20,14
3000,brickbat@aol.com,12,12
4583,maneesh@live.com,1,8
3422,research@mac.com,3,7
7340,doormat@aol.com,7,10
9821,milton@yahoo.ca,0,5
2004,danneng@optonline.net,7,15
8766,sinkou@gmail.com,16,1
6405,aschmitz@aol.com,13,1
2220,brainless@comcast.net,5,0
4151,falcao@yahoo.com,20,1
4642,wojciech@icloud.com,11,14
3905,singer@verizon.net,2,15
8420,neonatus@icloud.com,17,0
4175,bhtower@gmail.com,2,3
3330,vganesh@optonline.net,11,5
4770,corrada@icloud.com,6,7
2784,cgarcia@comcast.net,16,11
7818,darin@comcast.net,7,12
5495,manuals@sbcglobal.net,3,1
2743,kourai@yahoo.com,9,14
5631,loscar@yahoo.com,8,5
5471,ryanshaw@msn.com,17,0
7922,syncnine@live.com,2,11
2368,dburrows@comcast.net,12,14
3587,psharpe@optonline.net,9,0
5291,dmouse@comcast.net,2,14
2056,wbarker@yahoo.com,20,12
2523,ilikered@hotmail.com,12,12
7192,mthurn@verizon.net,15,3
9083,improv@me.com,0,11
3505,tokuhirom@icloud.com,17,10
3300,haddawy@comcast.net,10,5
1163,ilial@optonline.net,17,12
1776,singh@yahoo.ca,5,5
5647,denton@mac.com,13,14
4878,terjesa@hotmail.com,5,6
6746,kodeman@hotmail.com,14,8
5104,gfody@optonline.net,13,3
3445,smallpaul@live.com,11,12
8296,floxy@comcast.net,16,9
9818,dsowsy@att.net,0,5
4954,petersko@comcast.net,13,1
1046,aegreene@yahoo.ca,12,5
8652,szymansk@msn.com,8,0
1493,gmcgath@aol.com,20,12
6262,mcast@optonline.net,4,15
4325,lushe@hotmail.com,13,5
8797,jfreedma@verizon.net,15,13
8923,wbarker@mac.com,3,1
3322,danzigism@outlook.com,0,12
6357,dsugal@me.com,17,4
6178,ralamosm@verizon.net,18,14
9645,geeber@hotmail.com,8,2
9122,rafasgj@att.net,20,1
3643,rohitm@mac.com,0,1
9665,boser@aol.com,13,13
1852,thaljef@att.net,4,0
7758,msherr@live.com,4,0
1324,whimsy@icloud.com,1,1
2637,ateniese@optonline.net,8,13
6345,morain@sbcglobal.net,16,14
3749,steve@live.com,12,4
5058,raides@gmail.com,5,14
1239,sekiya@optonline.net,15,0
8525,bulletin@icloud.com,19,14
4272,rfisher@msn.com,7,13
5116,hutton@verizon.net,10,8
8861,gumpish@gmail.com,11,2
6313,bastian@verizon.net,13,11
8191,mgreen@comcast.net,20,5
4382,dunstan@live.com,12,9
4807,kuparine@gmail.com,4,0
6973,marioph@att.net,15,5
2947,duchamp@gmail.com,7,15
7492,catalog@gmail.com,12,2
3263,leviathan@verizon.net,9,2
6135,dowdy@sbcglobal.net,11,2
5624,smallpaul@aol.com,6,9
6328,bader@comcast.net,12,11
8762,eminence@hotmail.com,2,12
6033,matty@aol.com,15,4
2476,inico@icloud.com,19,15
3417,alhajj@me.com,13,7
4155,moonlapse@mac.com,1,13
7538,wenzlaff@msn.com,6,13
3435,pizza@yahoo.com,20,6
8428,wmszeliga@live.com,20,12
7184,dgatwood@msn.com,16,13
1119,chaki@msn.com,12,5
8431,fangorn@msn.com,7,2
8409,johnbob@yahoo.ca,12,5
1548,eegsa@sbcglobal.net,14,3
1953,sjmuir@sbcglobal.net,13,6
5127,fglock@icloud.com,7,12
3373,harpes@att.net,13,0
3143,rsmartin@hotmail.com,8,0
2045,parksh@yahoo.ca,0,9
7819,campware@me.com,16,12
4858,gmcgath@live.com,16,5
6037,miami@icloud.com,14,11
8605,dhwon@optonline.net,8,7
3395,grinder@att.net,5,10
2804,mmccool@sbcglobal.net,19,5
6460,cmdrgravy@me.com,17,3
2760,subir@gmail.com,17,13
4113,amichalo@att.net,8,13
3615,kalpol@aol.com,18,6
3020,dogdude@verizon.net,1,8
3802,karasik@icloud.com,16,10
9787,storerm@comcast.net,3,10
8398,karasik@sbcglobal.net,18,8
2185,parkes@icloud.com,19,8
4009,neuffer@yahoo.ca,12,13
5809,spadkins@me.com,15,14
4926,emcleod@sbcglobal.net,7,9
6563,harryh@msn.com,20,5
1211,lbaxter@yahoo.com,5,13
5335,solomon@msn.com,0,7
2191,intlprog@msn.com,3,2
9735,danneng@yahoo.com,8,9
3986,mhoffman@hotmail.com,17,2
7152,timtroyr@outlook.com,8,8
5619,mosses@comcast.net,14,2
8332,wildfire@mac.com,15,11
9632,hauma@gmail.com,0,9
1460,qmacro@outlook.com,4,1
8329,bahwi@comcast.net,4,7
6632,cliffordj@att.net,4,8
4542,nweaver@mac.com,9,3
1415,symbolic@sbcglobal.net,20,2
9634,treeves@yahoo.ca,19,12
2337,yfreund@optonline.net,4,5
9859,mfburgo@sbcglobal.net,14,15
7452,luebke@hotmail.com,11,11
4208,keijser@verizon.net,20,2
6192,rgarton@live.com,14,15
8779,feamster@outlook.com,15,11
1775,horrocks@yahoo.ca,18,8
4996,wiseb@live.com,10,3
2765,nasarius@mac.com,6,13
8685,rcwil@mac.com,10,6
7646,mcast@att.net,13,4
3526,sartak@att.net,19,6
9965,kalpol@aol.c,10,9
7711,oster@comcast.net,17,1
5677,sartak@att.net,4,11
2621,dodong@icloud.com,5,0
8867,itstatus@hotmail.com,15,7
8011,shazow@icloud.com,11,7
7918,brbarret@mac.com,12,14
7526,alias@att.net,9,10
7611,crusader@att.net,15,9
2462,mbrown@live.com,16,0
4389,mailarc@outlook.com,4,13
3805,jshirley@att.net,13,1
6154,adamk@live.com,4,4
8557,mfleming@yahoo.ca,18,0
2818,flavell@gmail.com,16,15
5472,metzzo@msn.com,13,7
6595,stinson@yahoo.ca,14,2
6762,lpalmer@yahoo.ca,17,0
5090,natepuri@me.com,17,5
1546,dwendlan@msn.com,12,10
4215,dogdude@verizon.net,15,6
8170,calin@gmail.com,17,7
1229,bdbrown@comcast.net,17,13
6490,whimsy@sbcglobal.net,20,15
1446,jbuchana@msn.com,6,12
8060,luvirini@yahoo.com,1,4
9586,bhtower@me.com,16,5
7584,jusdisgi@verizon.net,13,2
4634,rattenbt@hotmail.com,9,6
9372,dmath@aol.com,9,11
2257,djupedal@comcast.net,15,10
7802,jbryan@sbcglobal.net,11,13
5959,bastian@comcast.net,3,11
9364,syrinx@aol.com,3,8
6607,janusfury@hotmail.com,18,10
4171,bjornk@yahoo.ca,5,11
6633,jelmer@me.com,1,1
9661,kronvold@yahoo.ca,20,8
1005,presoff@icloud.com,10,2
7270,ateniese@mac.com,18,3
6264,rgarcia@outlook.com,15,9
1474,mkearl@outlook.com,3,2
4323,lridener@sbcglobal.net,1,12
8994,tokuhirom@me.com,12,2
3840,isorashi@sbcglobal.net,9,4
9719,koudas@mac.com,15,13
8941,jdray@outlook.com,10,14
4388,avalon@hotmail.com,13,5
5775,euice@verizon.net,11,4
9583,kostas@me.com,0,2
4497,jfmulder@optonline.net,4,15
2921,jmcnamara@outlook.com,9,6
5525,seasweb@att.net,20,15
3815,esbeck@yahoo.ca,0,3
5893,murty@optonline.net,11,10
7930,aegreene@yahoo.com,7,7
1509,eimear@mac.com,18,14
9158,euice@optonline.net,18,5
7807,sacraver@optonline.net,19,13
3457,jmmuller@optonline.net,8,13
7320,gilmoure@gmail.com,12,8
6270,cameron@yahoo.com,8,14
6088,jrkorson@icloud.com,20,9
3871,eimear@hotmail.com,18,8
1139,nacho@me.com,10,7
1907,nichoj@aol.com,17,0
3352,heroine@sbcglobal.net,19,4
8386,uncle@att.net,15,5
4014,mstrout@msn.com,14,14
2595,wbarker@aol.com,7,4
1911,jaffe@sbcglobal.net,1,12
9052,brbarret@outlook.com,19,13
7859,jamuir@verizon.net,19,7
7401,greear@me.com,6,14
2616,debest@att.net,9,10
1912,enintend@yahoo.com,14,13
3534,breegster@optonline.net,15,3
4332,storerm@aol.com,2,8
1080,jipsen@hotmail.com,12,1
6226,trieuvan@icloud.com,19,8
8882,jdray@icloud.com,13,12
8718,enintend@att.net,1,7
6380,boomzilla@optonline.net,7,2
4886,jgwang@msn.com,0,2
5891,sharon@yahoo.ca,17,10
1444,gbacon@msn.com,3,14
4701,nasor@comcast.net,15,6
3563,corrada@live.com,9,5
1078,choset@msn.com,3,7
2475,horrocks@yahoo.ca,8,11
7155,syrinx@hotmail.com,13,9
9283,bdthomas@comcast.net,17,9
3649,vlefevre@msn.com,7,2
5249,cyrus@aol.com,13,0
5865,galbra@mac.com,0,10
7515,amcuri@comcast.net,13,13
9461,epeeist@att.net,0,3
6399,william@att.net,0,6
9609,amimojo@sbcglobal.net,13,12
3975,cgcra@yahoo.ca,9,9
5095,nelson@msn.com,19,3
7782,rande@hotmail.com,16,7
2545,bastian@verizon.net,11,3
5074,magusnet@gmail.com,16,14
8335,markjugg@hotmail.com,7,6
6261,sharon@msn.com,17,3
6011,hakim@yahoo.com,15,7
5671,lbecchi@sbcglobal.net,16,6
5950,mcast@aol.com,7,13
5210,crypt@msn.com,2,0
8888,world@msn.com,15,5
4368,aglassis@outlook.com,1,3
6801,karasik@yahoo.ca,18,14
5343,monopole@yahoo.com,15,10
7669,cyrus@optonline.net,4,11
7421,adhere@msn.com,0,12
1702,kildjean@icloud.com,10,4
5497,juerd@me.com,20,4
8710,noahb@optonline.net,7,3
3170,kosact@outlook.com,5,6
2303,ghaviv@me.com,20,13
9900,lstaf@me.com,10,8
2432,killmenow@hotmail.com,7,12
7542,rfoley@sbcglobal.net,0,8
5407,birddog@yahoo.ca,14,15
8505,shaffei@hotmail.com,1,5
9854,tristan@mac.com,19,13
3936,garland@yahoo.com,1,14
5553,raines@gmail.com,4,11
5554,rkobes@optonline.net,8,3
1842,gamma@sbcglobal.net,8,3
2920,bdbrown@optonline.net,3,2
4462,fhirsch@att.net,9,8
3789,alfred@yahoo.ca,16,0
6141,skoch@aol.com,1,3
8922,bester@icloud.com,7,0
9757,nanop@me.com,15,2
9844,kudra@yahoo.ca,0,14
2752,dwheeler@hotmail.com,10,14
9082,ilikered@aol.com,8,5
9453,retoh@hotmail.com,9,13
1408,demmel@gmail.com,17,8
3565,gerlo@yahoo.ca,17,4
9535,punkis@comcast.net,2,0
8353,jshirley@verizon.net,16,12
3622,pakaste@hotmail.com,3,8
7651,bigmauler@verizon.net,11,12
5088,aukjan@mac.com,15,12
9426,gavinls@yahoo.com,1,2
2996,portscan@hotmail.com,19,15
4070,wmszeliga@yahoo.ca,1,7
9930,joglo@gmail.com,13,14
7244,teverett@hotmail.com,0,9
9366,chrwin@yahoo.ca,0,9
1942,nimaclea@yahoo.com,1,15
5441,rbarreira@hotmail.com,2,9
7395,north@me.com,3,7
4883,gbacon@att.net,18,13
4312,petersen@comcast.net,8,11
4910,srour@msn.com,2,2
4234,nanop@live.com,13,6
4460,pgolle@verizon.net,0,5
4936,djpig@msn.com,8,9
5273,stewwy@gmail.com,17,6
8069,lukka@live.com,17,15
5153,themer@optonline.net,8,9
6382,kannan@live.com,9,8
9267,parasite@att.net,10,15
8020,russotto@msn.com,3,10
9373,crowl@aol.com,12,10
6895,nanop@outlook.com,11,2
3626,sjmuir@yahoo.com,0,5
6906,gward@verizon.net,18,13
7059,smcnabb@att.net,4,8
2592,wbarker@comcast.net,15,2
9772,tsuruta@live.com,12,10
9737,devphil@gmail.com,2,13
8155,jshirley@verizon.net,8,7
9389,forsberg@verizon.net,8,14
8073,hwestiii@live.com,12,11
5502,ccohen@optonline.net,13,4
9474,dougj@verizon.net,11,9
4217,dgriffith@msn.com,14,12
9643,sokol@live.com,14,6
8241,amichalo@me.com,12,15
3194,animats@sbcglobal.net,6,3
1491,alias@gmail.com,7,12
9687,eminence@live.com,1,14
2263,kwilliams@aol.com,13,7
9039,conteb@yahoo.com,3,3
6431,msusa@msn.com,18,2
1864,ubergeeb@aol.com,5,12
1024,enintend@yahoo.com,15,8
9377,sumdumass@outlook.com,7,15
6002,msroth@icloud.com,1,4
6499,errxn@comcast.net,17,10
7010,juerd@optonline.net,9,7
8104,scarlet@gmail.com,1,3
9588,chunzi@icloud.com,1,7
3011,monkeydo@optonline.net,6,1
8746,carroll@optonline.net,7,7
5530,bflong@gmail.com,3,15
8295,nachbaur@gmail.com,2,13
1054,rmcfarla@mac.com,1,11
6544,mugwump@outlook.com,2,9
6007,world@att.net,4,0
3484,johnh@att.net,17,4
6092,vmalik@yahoo.ca,13,12
5642,bryanw@sbcglobal.net,3,8
2176,fraser@att.net,6,3
1136,dvdotnet@att.net,2,5
3732,killmenow@yahoo.ca,10,7
7203,ehood@mac.com,2,13
8914,geoffr@hotmail.com,19,0
6355,konit@comcast.net,10,2
2439,qmacro@yahoo.ca,11,12
4437,vlefevre@comcast.net,10,4
4940,mnemonic@live.com,11,7
5475,aaribaud@yahoo.ca,15,2
4051,fraterk@msn.com,7,2
1827,gtaylor@mac.com,2,3
9966,jacks@sbcglobal.net,4,14
6411,jbailie@sbcglobal.net,9,1
9261,rddesign@sbcglobal.net,16,2
8833,sriha@gmail.com,18,12
2348,hahiss@icloud.com,4,12
2287,snunez@verizon.net,13,4
4132,drezet@comcast.net,16,12
2438,miyop@sbcglobal.net,17,11
9130,noahb@gmail.com,9,2
1547,shawnce@aol.com,6,1
9484,sherzodr@hotmail.com,11,13
1611,treit@hotmail.com,15,4
6121,glenz@live.com,19,13
7627,ilyaz@me.com,12,1
6422,ubergeeb@yahoo.com,14,5
5406,ijackson@verizon.net,6,12
2556,mccurley@optonline.net,10,7
1696,benits@live.com,14,6
8847,jfmulder@yahoo.com,5,14
7404,kayvonf@msn.com,2,7
5020,brainless@yahoo.com,20,9
2928,hauma@yahoo.ca,4,15
7834,tlinden@aol.com,10,14
3609,marin@hotmail.com,18,13
7512,intlprog@optonline.net,5,8
1884,sagal@icloud.com,12,1
8500,andale@hotmail.com,2,13
7403,kevinm@mac.com,5,6
4224,tarreau@optonline.net,19,9
8911,ninenine@comcast.net,16,12
8156,sequin@optonline.net,14,7
3371,parksh@aol.com,4,7
8878,stern@att.net,16,11
3618,russotto@outlook.com,4,1
2725,nogin@comcast.net,2,3
4565,morain@mac.com,5,6
5504,chaki@aol.com,10,11
9341,ribet@hotmail.com,14,7
3872,jimxugle@live.com,17,4
8152,yenya@aol.com,5,8
1378,timlinux@gmail.com,16,5
4054,staikos@yahoo.ca,12,8
9676,syrinx@yahoo.ca,1,2
2314,dsowsy@aol.com,14,10
6168,gravyface@aol.com,14,6
2150,nicktrig@comcast.net,17,10
2371,johnh@verizon.net,16,12
4947,kmself@hotmail.com,15,10
5408,enintend@comcast.net,13,5
2934,thowell@icloud.com,12,9
7191,eidac@aol.com,9,11
8967,munge@aol.com,6,9
7876,tmccarth@outlook.com,0,11
5154,dougj@msn.com,12,4
5484,mcrawfor@aol.com,19,6
8834,alfred@att.net,9,11
7195,thurston@att.net,13,2
4404,petersko@gmail.com,11,10
5535,bmorrow@hotmail.com,17,5
5380,naupa@verizon.net,6,12
7671,attwood@comcast.net,11,5
9575,kildjean@me.com,18,9
2100,fhirsch@live.com,4,8
8926,mbrown@gmail.com,9,5
1398,andrei@icloud.com,2,13
8659,mcraigw@aol.com,0,8
9391,brbarret@live.com,14,6
4968,petersko@aol.com,1,3
1901,petersko@gmail.com,4,11
5523,ahuillet@hotmail.com,19,4
9423,malattia@gmail.com,18,12
2137,jfreedma@comcast.net,14,3
1560,lridener@icloud.com,19,4
3547,mfleming@live.com,4,10
2230,leakin@icloud.com,0,3
1337,crobles@gmail.com,9,15
6268,raides@live.com,11,8
7250,storerm@aol.com,18,11
4534,jonadab@icloud.com,16,6
2558,jcholewa@sbcglobal.net,9,10
6791,errxn@att.net,19,15
8986,engelen@icloud.com,17,0
5360,staffelb@yahoo.ca,3,2
5156,hellfire@live.com,9,4
6771,bmorrow@hotmail.com,5,7
3796,hmbrand@hotmail.com,3,12
4894,gknauss@att.net,15,3
7474,teverett@me.com,19,7
5601,grolschie@comcast.net,16,7
4710,fglock@comcast.net,0,9
8167,vmalik@sbcglobal.net,2,4
1308,jpflip@icloud.com,6,6
4152,atmarks@yahoo.com,17,2
9149,tkrotchko@hotmail.com,4,6
